game_id,ゲームタイトル,プラットフォーム,総合点_ゲーマー,コンテンツ量_ゲーマー,自由度_ゲーマー,ソーシャリティ_ゲーマー,BGM_ゲーマー,グラフィック_ゲーマー,感情移入_ゲーマー,ゲーム性_ゲーマー,総合点_カジュアル,コンテンツ量_カジュアル,自由度_カジュアル,ソーシャリティ_カジュアル,BGM_カジュアル,グラフィック_カジュアル,感情移入_カジュアル,敷居の低さ_カジュアル,会社,ジャンル,ゲームシステム,タグ,詳細URL,ゲームの価値_総合
7412,パワプロ2022,Switch/PS4,0.9,1.0,0.6,0.8,0.8,0.6,0.8,0.8,0.9,1.0,0.6,0.8,0.8,0.6,0.8,0.8,KONAMI,,調査中,なし,https://gamewith.jp/switch/game/show/7412,0.9
5000,ワールドウォーZ,PS4/Switch/PC,0.9,0.8,0.6,0.8,0.2,0.8,0.6,0.8,0.7,0.8,0.6,0.8,0.2,0.8,0.6,0.4,H2Interactive,,調査中,なし,https://gamewith.jp/ps4/game/show/5000,0.8
3421,十三機兵防衛圏,PS4/Switch,0.9,0.6,0.6,0.4,0.8,0.8,0.8,0.6,0.9,0.6,0.6,0.4,0.8,0.8,0.8,0.6,ATLUS,その他シミュレーション/アドベンチャー,その他シミュレーション,SF/本格ストーリー,https://gamewith.jp/ps4/game/show/3421,0.9
7073,星のカービィ ディスカバリー,Switch,0.9,0.6,0.6,0.6,1.0,0.8,0.6,0.8,1.0,0.6,0.6,0.6,1.0,0.8,0.6,1.0,Nintendo,アクション,アクション,かわいい,https://gamewith.jp/switch/game/show/7073,0.95
6599,トライアングルストラテジー,Switch,0.9,0.8,0.6,0.4,0.8,0.8,1.0,0.6,0.8,0.8,0.6,0.4,0.8,0.8,1.0,0.4,SQUAREENIX,シミュレーションRPG,シミュレーションRPG,ドット絵,https://gamewith.jp/switch/game/show/6599,0.8500000000000001
6490,ゲーム ドラえもん のび太の宇宙小戦争2021,Switch,0.9,0.6,0.6,0.8,0.6,0.6,0.8,0.6,0.8,0.6,0.6,0.8,0.6,0.6,0.8,0.8,FURYU,パーティーゲーム,パーティーゲーム,アニメ/SF,https://gamewith.jp/switch/game/show/6490,0.8500000000000001
7099,ソフィー2(ソフィーのアトリエ2 ~不思議な夢の錬金術士~),PS4/Switch/PC,0.9,0.8,0.6,0.4,0.8,0.8,0.8,0.6,0.8,0.8,0.6,0.4,0.8,0.8,0.8,0.6,KOEITECMOGAMES,ベーシックRPG,コマンドバトルRPG,美少女,https://gamewith.jp/ps4/game/show/7099,0.8500000000000001
3668,キングダム ハーツ HD 2.8 ファイナルチャプタープロローグ,PS4/XOne/Switch/PC,0.9,1.0,0.6,0.4,0.8,0.6,0.8,0.6,0.8,1.0,0.6,0.4,0.8,0.6,0.8,0.6,SQUAREENIX,アクションRPG,アクションRPG,ディズニー/ファンタジー/本格ストーリー,https://gamewith.jp/ps4/game/show/3668,0.8500000000000001
3642,キングダムハーツ3,PS4/XOne/Switch,0.9,0.8,0.6,0.4,0.8,0.8,0.8,0.6,0.9,0.8,0.6,0.4,0.8,0.8,0.8,0.8,SQUAREENIX,アクションRPG,アクションRPG,ディズニー/ファンタジー,https://gamewith.jp/ps4/game/show/3642,0.9
3410,キングダム ハーツ HD 1.5+2.5,PS4/XOne/Switch,0.9,1.0,0.6,0.4,0.8,0.6,0.8,0.6,0.8,1.0,0.6,0.4,0.8,0.6,0.8,0.6,SQUAREENIX,アクションRPG,アクションRPG,ディズニー,https://gamewith.jp/ps4/game/show/3410,0.8500000000000001
7677,シャーロック・ホームズ：罪と罰,Switch/PS4/Xbox/PC,0.9,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.8,0.6,Frogwares,アドベンチャー,アドベンチャー,Steam/オフライン/本格ストーリー,https://gamewith.jp/switch/game/show/7677,0.8500000000000001
6870,遊戯王マスターデュエル,PS5/PS4/Switch/XOne/PC,0.9,0.6,1.0,0.8,0.6,0.8,0.4,0.8,0.9,0.6,1.0,0.8,0.6,0.8,0.4,0.8,KONAMI,トレーディングカードゲーム,トレーディングカードゲーム,基本プレイ無料/ジャンプ/PvP/クロスプレイ,https://gamewith.jp/ps5/game/show/6870,0.9
6795,パワプロクンポケットR(パワポケR),Switch,0.9,0.8,0.6,0.8,0.8,0.6,0.6,0.8,0.9,0.8,0.6,0.8,0.8,0.6,0.6,0.8,KONAMI,野球,野球,学園/PvP,https://gamewith.jp/switch/game/show/6795,0.9
7224,ドラクエ10 天星の英雄たち オンライン,PS4/Switch/PC,0.9,0.8,0.8,1.0,1.0,0.6,0.6,0.8,0.9,0.8,0.8,1.0,1.0,0.6,0.6,0.8,SQUAREENIX,ベーシックRPG,コマンドバトルRPG,ドラクエ/ファンタジー,https://gamewith.jp/ps4/game/show/7224,0.9
3709,メガテン5(真・女神転生Ⅴ),Switch,0.9,0.8,0.8,0.6,0.6,0.8,0.8,0.6,0.8,0.8,0.8,0.6,0.6,0.8,0.8,0.4,ATLUS,ベーシックRPG,コマンドバトルRPG,ファンタジー,https://gamewith.jp/switch/game/show/3709,0.8500000000000001
6799,スーパーロボット大戦30(スパロボ30),Switch/PS4/PC,0.9,0.8,0.8,0.6,0.8,0.8,0.6,0.8,0.9,0.8,0.8,0.6,0.8,0.8,0.6,0.8,BANDAINAMCOEntertainment,シミュレーションRPG,ターン制ストラテジー,メカ,https://gamewith.jp/switch/game/show/6799,0.9
6854,FIFA 22,PS5/PS4/Switch/XOne/PC,0.9,0.8,0.6,0.8,0.6,0.8,0.4,0.8,0.8,0.8,0.6,0.8,0.6,0.8,0.4,0.6,ElectronicArts,サッカー,サッカー,マルチプレイ,https://gamewith.jp/ps5/game/show/6854,0.8500000000000001
3385,二ノ国Ⅱ レヴァナントキングダム,PS4/PC/Switch,0.9,0.8,0.6,0.4,0.8,0.8,0.8,0.6,0.9,0.8,0.6,0.4,0.8,0.8,0.8,0.8,LEVEL-5,,調査中,なし,https://gamewith.jp/ps4/game/show/3385,0.9
6474,新すばらしきこのせかい,Switch/PS4/PC,0.9,0.8,0.6,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.6,0.8,0.8,0.8,0.6,SQUAREENIX,アクションRPG,アクションRPG,中二病/本格ストーリー,https://gamewith.jp/switch/game/show/6474,0.8500000000000001
6190,ポケモンユナイト,Switch/アプリ,0.9,0.6,0.8,0.8,0.6,0.6,0.6,1.0,0.9,0.6,0.8,0.8,0.6,0.6,0.6,0.8,ThePokemonCompany,MOBA,MOBA,ポケモン/大人数バトル,https://gamewith.jp/switch/game/show/6190,0.9
6595,ゼルダの伝説 スカイウォードソード HD,Switch,0.9,0.8,0.6,0.6,1.0,0.6,1.0,0.8,1.0,0.8,0.6,0.6,1.0,0.6,1.0,0.8,Nintendo,アクション,アクション,ファンタジー,https://gamewith.jp/switch/game/show/6595,0.95
6514,Sky 星を紡ぐ子どもたち,Switch,0.9,0.6,0.6,1.0,0.8,0.8,0.8,0.4,0.9,0.6,0.6,1.0,0.8,0.8,0.8,0.8,thatgamecompany,,調査中,なし,https://gamewith.jp/switch/game/show/6514,0.9
6498,Hades（ハデス）,Switch/PS4/PS5/XOne/PC,0.9,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.6,SupergiantGames,アクションRPG,アクションRPG,ハクスラ,https://gamewith.jp/switch/game/show/6498,0.8500000000000001
6713,ナビつき！つくってわかる はじめてゲームプログラミング,Switch,0.9,0.6,1.0,0.8,0.6,0.6,0.4,0.6,0.9,0.6,1.0,0.8,0.6,0.6,0.4,0.8,Nintendo,,調査中,なし,https://gamewith.jp/switch/game/show/6713,0.9
6462,ファンタシースターオンライン2：ニュージェネシス,PS4/Switch/PC,0.9,0.8,0.8,1.0,0.6,0.8,0.6,0.8,0.9,0.8,0.8,1.0,0.6,0.8,0.6,0.6,SEGA,オンラインRPG,MMO/MORPG,基本プレイ無料/ファンタジー/マルチプレイ,https://gamewith.jp/ps4/game/show/6462,0.9
6622,Knockout City（ノックアウトシティ）,PS5/PS4/Switch/Xbox/PC,0.9,0.8,0.6,0.8,0.6,0.6,0.4,1.0,0.8,0.8,0.6,0.8,0.6,0.6,0.4,0.8,ElectronicArts,アクション,アクション,クロスプレイ,https://gamewith.jp/ps5/game/show/6622,0.8500000000000001
3661,フィリスのアトリエ ～不思議な旅の錬金術士～ DX,PS4/Switch/PC,0.9,0.8,0.6,0.4,0.8,0.8,0.8,0.6,0.8,0.8,0.6,0.4,0.8,0.8,0.8,0.6,KOEITECMOGAMES,,調査中,なし,https://gamewith.jp/ps4/game/show/3661,0.8500000000000001
3493,リディー＆スールのアトリエ ～不思議な絵画の錬金術士～ DX,PS4/Switch/PC,0.9,1.0,0.6,0.4,0.8,0.8,0.8,0.6,0.8,1.0,0.6,0.4,0.8,0.8,0.8,0.6,KOEITECMOGAMES,ベーシックRPG,コマンドバトルRPG,美少女,https://gamewith.jp/ps4/game/show/3493,0.8500000000000001
6484,サガ フロンティア リマスター,PS4/Switch/PC,0.9,0.8,0.6,0.4,1.0,0.6,0.8,0.6,0.9,0.8,0.6,0.4,1.0,0.6,0.8,0.8,SQUAREENIX,ベーシックRPG,コマンドバトルRPG,ファンタジー,https://gamewith.jp/ps4/game/show/6484,0.9
6482,ウイニングポスト9 2021,PS4/Switch/PC,0.9,1.0,0.8,0.4,0.6,0.8,0.6,0.6,0.8,1.0,0.8,0.4,0.6,0.8,0.6,0.6,KOEITECMOGAMES,,調査中,なし,https://gamewith.jp/ps4/game/show/6482,0.8500000000000001
6460,A列車で行こう はじまる観光計画,Switch/PC/アプリ,0.9,1.0,1.0,0.2,0.6,0.4,0.4,0.8,0.6,1.0,1.0,0.2,0.6,0.4,0.4,0.4,ARTDINK,,調査中,なし,https://gamewith.jp/switch/game/show/6460,0.75
3945,DOOM Eternal（ドゥーム エターナル）,PS4/Switch/PC,0.9,0.6,0.6,0.8,0.6,0.8,0.6,0.8,0.7,0.6,0.6,0.8,0.6,0.8,0.6,0.4,BethesdaSoftworks,シューティング,FPS,メカ/PvP/マルチプレイ,https://gamewith.jp/ps4/game/show/3945,0.8
3658,ドラゴンクエストXI 過ぎ去りし時を求めて S,Switch/PS4/PC,0.9,0.8,0.6,0.4,1.0,0.8,0.8,0.6,1.0,0.8,0.6,0.4,1.0,0.8,0.8,1.0,SQUAREENIX,ベーシックRPG,コマンドバトルRPG,ドラクエ/ファンタジー,https://gamewith.jp/switch/game/show/3658,0.95
6611,セインツロウ ザ・サード：リマスタード,PS4/PS5/Switch,0.9,0.8,1.0,0.8,0.6,0.6,0.8,0.6,0.9,0.8,1.0,0.8,0.6,0.6,0.8,0.6,DMMGAMES,アクション,アクション,アウトロー・バイオレンス/オープンワールド,https://gamewith.jp/ps4/game/show/6611,0.9
6350,FIFA 21,PS4/Switch/PS5,0.9,0.6,0.6,0.8,0.4,0.8,0.4,1.0,0.8,0.8,0.6,0.8,0.4,0.8,0.4,0.6,ElectronicArts,サッカー,サッカー,PvP,https://gamewith.jp/ps4/game/show/6350,0.8500000000000001
7650,PGA TOUR 2K21,PS4/Switch/Xbox/PC,0.9,0.6,0.8,0.8,0.6,0.8,0.4,0.8,0.8,0.6,0.8,0.8,0.6,0.8,0.4,0.6,2K,,調査中,なし,https://gamewith.jp/ps4/game/show/7650,0.8500000000000001
3580,キャサリン・フルボディ,PS4/Switch,0.9,0.8,0.6,0.6,0.6,0.6,0.8,0.8,0.8,0.8,0.6,0.6,0.6,0.6,0.8,0.6,ATLUS,,調査中,なし,https://gamewith.jp/ps4/game/show/3580,0.8500000000000001
6226,ボーダーランズ レジェンダリー・コレクション,PS4/Switch,0.9,0.8,0.6,0.8,0.6,0.6,0.6,0.8,0.8,0.8,0.6,0.8,0.6,0.6,0.6,0.6,2K,,調査中,なし,https://gamewith.jp/ps4/game/show/6226,0.8500000000000001
5395,ゼノブレイド ディフィニティブ・エディション,Switch,0.9,1.0,0.8,0.4,0.8,0.8,0.8,0.6,0.9,1.0,0.8,0.4,0.8,0.8,0.8,0.6,Nintendo,アクションRPG,アクションRPG,ファンタジー/本格ストーリー,https://gamewith.jp/switch/game/show/5395,0.9
6301,ドラゴンクエストX オールインワンパッケージ,PS4/Switch/PC,0.9,1.0,0.8,1.0,0.8,0.6,0.6,0.6,0.9,1.0,0.8,1.0,0.8,0.6,0.6,0.6,SQUAREENIX,オンラインRPG,MMO/MORPG,ドラクエ/マルチプレイ,https://gamewith.jp/ps4/game/show/6301,0.9
5942,グノーシア,Switch/PC,0.9,0.6,0.4,0.6,0.8,0.4,1.0,0.6,0.9,0.6,0.4,0.6,0.8,0.4,1.0,0.6,プチデポット,アドベンチャー,アドベンチャー,SF,https://gamewith.jp/switch/game/show/5942,0.9
5738,ウイニングポスト9 2020,PS4/Switch,0.9,0.6,0.8,0.6,0.6,0.8,0.6,0.8,0.8,0.6,0.8,0.6,0.6,0.8,0.6,0.6,KOEITECMOGAMES,,調査中,なし,https://gamewith.jp/ps4/game/show/5738,0.8500000000000001
4905,ペルソナ5 スクランブル ザ・ファントムストライカーズ,PS4/Switch,0.9,0.8,0.6,0.4,1.0,0.6,0.8,0.6,0.8,0.8,0.6,0.4,1.0,0.6,0.8,0.6,ATLUS,アクションRPG,アクションRPG,原作あり,https://gamewith.jp/ps4/game/show/4905,0.8500000000000001
5475,テラリア,Switch/PS4/PC,0.9,1.0,0.8,0.8,0.8,0.4,0.2,0.8,0.9,1.0,0.8,0.8,0.8,0.4,0.2,0.8,Spike-Chunsoft,,調査中,なし,https://gamewith.jp/switch/game/show/5475,0.9
4201,サムライスピリッツ,PS4/Switch,0.9,0.6,0.6,0.6,0.6,0.8,0.4,1.0,0.8,0.6,0.6,0.6,0.6,0.8,0.4,0.8,SNK,,調査中,なし,https://gamewith.jp/ps4/game/show/4201,0.8500000000000001
6113,アサシン クリード リベルコレクション,Switch,0.9,1.0,0.8,0.4,0.6,0.8,0.6,0.8,0.8,1.0,0.8,0.4,0.6,0.8,0.6,0.6,Ubisoft,,調査中,なし,https://gamewith.jp/switch/game/show/6113,0.8500000000000001
3831,ポケットモンスター ソード・シールド(ポケモン剣盾),Switch,0.9,0.8,0.6,0.8,0.8,0.6,0.6,0.8,0.9,0.8,0.4,0.8,0.8,0.6,0.6,0.8,Nintendo,,調査中,なし,https://gamewith.jp/switch/game/show/3831,0.9
5334,ドラゴンクエストX いばらの巫女と滅びの神 オンライン,PS4/Switch,0.9,0.8,1.0,1.0,0.6,0.6,0.6,0.8,0.9,0.8,1.0,1.0,0.6,0.6,0.6,0.8,SQUAREENIX,,調査中,なし,https://gamewith.jp/ps4/game/show/5334,0.9
5018,ブラッドステインド：リチュアル・オブ・ザ・ナイト,PS4/Switch,0.9,0.8,0.6,0.4,1.0,0.6,0.6,0.8,0.7,0.8,0.6,0.4,1.0,0.6,0.6,0.6,GameSourceEntertainment,,調査中,なし,https://gamewith.jp/ps4/game/show/5018,0.8
5519,リングフィット アドベンチャー,Switch,0.9,0.8,0.8,0.8,0.6,0.6,0.4,0.6,1.0,0.8,0.8,0.8,0.6,0.6,0.4,1.0,Nintendo,その他スポーツ,スポーツ,フィットネス,https://gamewith.jp/switch/game/show/5519,0.95
5161,FIFA 20,PS4/Switch,0.9,0.8,0.6,0.8,0.6,1.0,0.4,0.8,0.8,0.8,0.6,0.8,0.6,1.0,0.4,0.6,ElectronicArts,,調査中,なし,https://gamewith.jp/ps4/game/show/5161,0.8500000000000001
4094,デッドバイデイライト(DbD),PS5/PS4/Switch/PC,0.9,0.8,0.6,1.0,0.6,0.6,0.4,0.8,0.9,0.8,0.6,1.0,0.6,0.6,0.4,0.8,3goo,アクション,対戦アクション,なし,https://gamewith.jp/ps5/game/show/4094,0.9
5930,二ノ国 白き聖灰の女王,Switch/PS4,0.9,0.8,0.6,0.6,0.8,0.8,0.8,0.6,1.0,0.8,0.6,0.6,0.8,0.8,0.8,1.0,LEVEL-5,ベーシックRPG,コマンドバトルRPG,アニメ/ファンタジー/オフライン,https://gamewith.jp/switch/game/show/5930,0.95
5235,NBA 2K20,PS4/Switch,0.9,0.8,0.6,0.8,0.6,0.8,0.6,0.8,0.8,0.8,0.6,0.8,0.6,0.8,0.6,0.6,2K,,調査中,なし,https://gamewith.jp/ps4/game/show/5235,0.8500000000000001
7715,Risk of Rain 2,Switch/PC/PS4,0.9,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.6,0.6,GearboxPublishing,シューティング,TPS,SF,https://gamewith.jp/switch/game/show/7715,0.9
3807,ファイアーエムブレム 風花雪月,Switch,0.9,1.0,0.6,0.4,0.8,0.6,0.8,0.8,0.8,1.0,0.6,0.4,0.8,0.6,0.8,0.6,Nintendo,,調査中,なし,https://gamewith.jp/switch/game/show/3807,0.8500000000000001
3977,キルラキル ザ・ゲーム -異布-,PS4/Switch,0.9,0.6,0.6,0.8,0.6,0.8,0.6,0.8,0.8,0.6,0.6,0.8,0.6,0.8,0.6,0.6,ARCSYSTEMWORKS,,調査中,なし,https://gamewith.jp/ps4/game/show/3977,0.8500000000000001
4740,アサシン クリード3 リマスター ,PS4/Switch,0.9,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.8,0.8,0.4,Ubisoft,,調査中,なし,https://gamewith.jp/ps4/game/show/4740,0.8500000000000001
3667,ファイナルファンタジー12 ザ ゾディアック エイジ,Switch/PS4/PC,0.9,1.0,0.8,0.4,0.8,0.8,0.8,0.6,0.8,1.0,0.8,0.4,0.8,0.8,0.8,0.6,SQUAREENIX,ベーシックRPG,コマンドバトルRPG,FF,https://gamewith.jp/switch/game/show/3667,0.8500000000000001
4612,ファイナルファンタジーX/X-2 HDリマスター,Switch/PS4,0.9,0.8,0.6,0.4,0.8,0.8,1.0,0.6,0.9,0.8,0.6,0.4,0.8,0.8,1.0,0.8,SQUAREENIX,,調査中,なし,https://gamewith.jp/switch/game/show/4612,0.9
4773,FINAL FANTASY VII(ファイナルファンタジー7),Switch/PS4,0.9,0.8,0.6,0.4,1.0,0.6,1.0,0.6,0.9,0.8,0.6,0.4,1.0,0.6,1.0,0.8,SQUAREENIX,,調査中,なし,https://gamewith.jp/switch/game/show/4773,0.9
4656,シュタインズゲート ダイバージェンシズ アソート,Switch,0.9,1.0,0.4,0.4,0.8,0.6,1.0,0.4,0.9,1.0,0.4,0.4,0.8,0.6,1.0,0.6,5pb,,調査中,なし,https://gamewith.jp/switch/game/show/4656,0.9
3935,ネルケと伝説の錬金術士たち〜新たな大地のアトリエ〜,PS4/Switch,0.9,0.8,0.8,0.6,0.8,0.6,0.8,0.6,0.9,0.8,0.8,0.6,0.8,0.6,0.8,0.6,KOEITECMOGAMES,,調査中,なし,https://gamewith.jp/ps4/game/show/3935,0.9
6824,Warframe,PS4/Switch/PS5/PC,0.9,0.8,0.6,1.0,0.6,0.8,0.6,0.8,0.8,0.8,0.6,1.0,0.6,0.8,0.6,0.6,DigitalExtremes,オンラインRPG,MMO/MORPG,なし,https://gamewith.jp/ps4/game/show/6824,0.8500000000000001
3718,ダークソウル リマスタード,Switch/PS4,0.9,0.8,0.8,0.6,0.6,0.6,0.4,1.0,0.7,0.8,0.8,0.6,0.6,0.6,0.4,0.4,FromSoftware,,調査中,なし,https://gamewith.jp/switch/game/show/3718,0.8
3491,クラッシュ・バンディクー ブッとび３段もり！,PS4/Switch,0.9,1.0,0.6,0.6,0.6,0.8,0.4,0.8,0.9,1.0,0.6,0.6,0.6,0.8,0.4,1.0,SonyInteractiveEntertainment,,調査中,なし,https://gamewith.jp/ps4/game/show/3491,0.9
3913,アサシン クリード オデッセイ,PS4/Switch,0.9,0.8,0.8,0.4,0.6,0.8,0.6,0.8,0.8,0.8,0.8,0.4,0.6,0.8,0.6,0.6,Ubisoft,,調査中,なし,https://gamewith.jp/ps4/game/show/3913,0.8500000000000001
4136,Dead Cells（デッドセルズ）,Switch/PS4/PC,0.9,0.6,0.8,0.4,0.6,0.6,0.4,1.0,0.6,0.6,0.8,0.4,0.6,0.6,0.4,0.4,MotionTwin,,調査中,なし,https://gamewith.jp/switch/game/show/4136,0.75
3781,魔界戦記ディスガイア Refine,PS4/Switch,0.9,1.0,0.8,0.4,0.8,0.6,0.8,0.6,0.9,1.0,0.8,0.4,0.8,0.6,0.8,0.6,NipponIchiSoftware,,調査中,なし,https://gamewith.jp/ps4/game/show/3781,0.9
3968,OCTOPATH TRAVELER（オクトパストラベラー）,Switch,0.9,0.8,0.8,0.4,1.0,0.8,0.6,0.8,0.9,0.8,0.8,0.4,1.0,0.8,0.6,0.8,SQUAREENIX,,調査中,なし,https://gamewith.jp/switch/game/show/3968,0.9
